StartDate,EndDate,Progress,Duration_sec,Finished,RecordedDate,ResponseId,lat,long,distn,lang,USCit,Adult18,SA_accuse,SA_victim,LEO_you,LEO_family,Felon,MTurkID,VictimThinkKelly,TimeAttack,KellyPunchOut,KellyTimeDrive,InitialVerdict,InitialChances,InitialHighChances,InitialLowChances,SecondaryVerdict,SecondaryChances,SecondaryHighChances,SecondaryLowChances,UnderstoodEvidence,RMPEstimate,FrameEstimate,ErrorEstimate,Age,Gender,Educ,Income,MathStat,ConclusionsData,AbilityEvidence,NativeEnglish,CrimeVictim,Juror,SupportDP,KnowSciMeth,KnowForSci,PoliticalSpectrum,PoliticalParty,PoliticalParty2,ConfirmSubmit,mTurkCode,TreatmentGroup,EvidenceType,Strength,DefenseFallacy,FactorsAnalyst,Greater50Kelly,Implicates,KellyCouldveLeftEvid,KellyMoreLikely,NotOnlyKelly,ProsecuteFallacy,RMP,RMPTimesKelly,AgeGroup,CensusEdCat,IncomeFctr
7/20/17 15:15,7/20/17 15:30,100,897,TRUE,7/20/17 15:30,R_xhLNe9oHYeme9mF,34.86749268,-92.40010071,anonymous,EN,Yes,Yes,No,No,No,No,No,A2B0FLA55RH047,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 100,000 that he is guilty",About 1 chance in 100 that he is guilty,Impossible that he is guilty,Not Guilty,"About 1 chance in 1,000 that he is guilty",About 1 chance in 10 that he is guilty,Impossible that he is guilty,6,"1 chance in 1,000","1 chance in 100,000",1 chance in 10,27,Male,Graduated from a four year college or university,"$60-$80,000","High school courses,A college course in statistics,A college course in calculus",&nbsp;,&nbsp;,Yes,No,No,No,&nbsp;,Somewhat knowledgeable,&nbsp;,None,NA,NA,26130,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(24,34]",Bachelor's degree,"$40,000 to $100,000"
7/20/17 15:30,7/20/17 15:43,100,765,TRUE,7/20/17 15:43,R_b7NQC64F2aVTySt,36.06170654,-79.8234024,anonymous,EN,Yes,Yes,No,No,No,No,No,A19WXS1CLVLEEX,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 1,000 that he is guilty",About 1 chance in 1 million that he is guilty,About 1 chance in 100 that he is guilty,Not Guilty,"About 1 chance in 1,000 that he is guilty","About 1 chance in 100,000 that he is guilty",About 1 chance in 100 that he is guilty,"
	I understood completely
	7
","1 chance in 1,000","1 chance in 100,000","1 chance in 1,000",63,Male,Graduated from community college,"Less than $20,000",High school courses,Moderately Confident,Moderately Confident,Yes,No,No,No,&nbsp;,&nbsp;,&nbsp;,Democrat,NA,NA,39653,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(54,64]",Some college or associate degree,"Under $20,000"
7/20/17 15:35,7/20/17 15:44,100,539,TRUE,7/20/17 15:44,R_1o0XVfZtorknRW1,38.95799255,-107.968399,anonymous,EN,Yes,Yes,No,No,No,No,No,A3PJ8I5H49H5TO,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 1 chance in 10 million that he is guilty,About 1 chance in 10 million that he is guilty,About 1 chance in 10 million that he is guilty,Not Guilty,Impossible that he is guilty,About 1 chance in 10 million that he is guilty,"About 999 chances in 1,000 that he is guilty","
	I understood completely
	7
",1 chance in 10 million,1 chance in 1 million,1 chance in 100,46,Female,Received a masters degree,"$80-$100,000",A college course in statistics,Moderately Confident,Moderately Confident,Yes,No,Yes,Yes,Somewhat knowledgeable,&nbsp;,Very Liberal,Democrat,NA,NA,70994,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(44,54]",Advanced degree,"$40,000 to $100,000"
7/20/17 15:24,7/20/17 15:49,100,1504,TRUE,7/20/17 15:49,R_25Bo8FhHjXHmKo8,43.16690063,-76.05580139,anonymous,EN,Yes,Yes,No,No,No,No,No,A3RUUTINBKU8YE,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 1 chance in 10 that he is guilty,One chance in 2 that he is guilty,"About 1 chance in 1,000 that he is guilty",Not Guilty,About 1 chance in 10 that he is guilty,One chance in 2 that he is guilty,"About 1 chance in 1,000 that he is guilty",6,"1 chance in 1,000","1 chance in 10,000","1 chance in 1,000",31,Male,Graduated from a four year college or university,"$80-$100,000","High school courses,A college course in statistics,A college course in calculus",&nbsp;,&nbsp;,Yes,No,No,Yes,&nbsp;,&nbsp;,Moderate,American Independent,NA,NA,54948,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(24,34]",Bachelor's degree,"$40,000 to $100,000"
7/20/17 15:35,7/20/17 15:53,100,1086,TRUE,7/20/17 15:53,R_2EspalHyykuO1Dm,34.76780701,-79.46389771,anonymous,EN,Yes,Yes,No,No,No,Yes,No,A1OIXGF4N7O93T,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 1 chance in 10 million that he is guilty,"About 1 chance in 1,000 that he is guilty",About 1 chance in 10 million that he is guilty,Not Guilty,About 1 chance in 1 million that he is guilty,About 1 chance in 100 that he is guilty,"About 1 chance in 100,000 that he is guilty","
	I understood completely
	7
",1 chance in 100,"1 chance in 1,000",1 chance in 10,49,Female,Graduated from a four year college or university,"Less than $20,000",A college course in statistics,&nbsp;,&nbsp;,Yes,No,No,Yes,&nbsp;,Somewhat knowledgeable,Moderate,American Independent,NA,NA,68866,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,1 in 100,The shoeprint evidence supports this statement.,"(44,54]",Bachelor's degree,"Under $20,000"
7/20/17 15:44,7/20/17 15:56,100,689,TRUE,7/20/17 15:56,R_07IGNhgRJN2W9C9,40.94869995,-74.24130249,anonymous,EN,Yes,Yes,No,No,No,No,No,A103XX92AATRSG,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 1 chance in 10 that he is guilty,One chance in 2 that he is guilty,"About 1 chance in 1,000 that he is guilty",Not Guilty,One chance in 2 that he is guilty,"About 999 chances in 1,000 that he is guilty",About 1 chance in 10 that he is guilty,"
	I understood completely
	7
","1 chance in 1,000",1 chance in 100,"1 chance in 1,000",27,Female,Graduated from a four year college or university,"More than $120,000","High school courses,A college course in statistics",&nbsp;,&nbsp;,Yes,No,No,Yes,&nbsp;,Somewhat knowledgeable,Moderate,None,NA,NA,85312,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,1 in 100,The shoeprint evidence supports this statement.,"(24,34]",Bachelor's degree,"Over $100,000"
7/20/17 15:54,7/20/17 16:00,100,346,TRUE,7/20/17 16:00,R_3MbMIvBoig8A28B,47.48910522,-122.290802,anonymous,EN,Yes,Yes,No,No,No,No,No,A3HSMUPSPOKD0M,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 1 chance in 100 that he is guilty,About 1 chance in 10 that he is guilty,About 1 chance in 100 that he is guilty,Not Guilty,About 9 chances in 10 that he is guilty,About 9 chances in 10 that he is guilty,About 1 chance in 10 that he is guilty,5,"1 chance in 10,000","1 chance in 10,000","1 chance in 1,000",37,Female,Some college courses,"$20-$40,000",High school courses,&nbsp;,&nbsp;,Yes,No,No,NA,Somewhat knowledgeable,&nbsp;,&nbsp;,Green,NA,NA,10694,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(34,44]",Some college or associate degree,"$20,000 to $40,000"
7/20/17 15:44,7/20/17 16:09,100,1522,TRUE,7/20/17 16:09,R_2VR8cRMhqKVFkPC,18.9750061,72.82580566,anonymous,EN,Yes,Yes,No,No,No,No,No,A2J237J8KM3OCS,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 1 chance in 10 that he is guilty,One chance in 2 that he is guilty,About 1 chance in 100 that he is guilty,Not Guilty,About 1 chance in 10 that he is guilty,One chance in 2 that he is guilty,About 1 chance in 100 that he is guilty,"
	I understood completely
	7
",1 chance in 100,1 chance in 100,1 chance in 100,34,Male,Graduated from a four year college or university,"$80-$100,000",A college course in statistics,&nbsp;,&nbsp;,Yes,No,No,Yes,&nbsp;,&nbsp;,&nbsp;,Republican,NA,NA,76379,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(24,34]",Bachelor's degree,"$40,000 to $100,000"
7/20/17 16:08,7/20/17 16:17,100,567,TRUE,7/20/17 16:17,R_2Cq7Zb317DlBdKc,40.55160522,-74.46369934,anonymous,EN,Yes,Yes,No,No,No,No,No,A1EQ2HDHF2WWSY,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 10,000 that he is guilty",About 1 chance in 100 that he is guilty,About 1 chance in 1 million that he is guilty,Not Guilty,One chance in 2 that he is guilty,"About 9,999,999 chances in 10 million that he is guilty","About 1 chance in 1,000 that he is guilty",6,1 chance in 100,1 chance in 10,1 chance in 100,28,Female,Some college courses,"$60-$80,000",High school courses,&nbsp;,&nbsp;,Yes,No,Yes,No,&nbsp;,&nbsp;,&nbsp;,Democrat,NA,NA,97549,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(24,34]",Some college or associate degree,"$40,000 to $100,000"
7/20/17 16:07,7/20/17 16:23,100,979,TRUE,7/20/17 16:23,R_1LtBeJNv2m6VtdM,33.91290283,-118.3439026,anonymous,EN,Yes,Yes,No,No,No,No,No,A1KFK92GEFQ9F5,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 1,000 that he is guilty","About 9,999,999 chances in 10 million that he is guilty",About 1 chance in 10 million that he is guilty,Not Guilty,"About 1 chance in 10,000 that he is guilty","About 9,999,999 chances in 10 million that he is guilty",About 1 chance in 10 million that he is guilty,"
	I understood completely
	7
",Zero chances (It is impossible.),1 chance in 1 million,1 chance in 10 million,28,Male,Some high school,"Less than $20,000",High school courses,&nbsp;,Extremely Confident,Yes,No,No,Yes,&nbsp;,Somewhat knowledgeable,Moderate,Democrat,NA,NA,54486,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(24,34]","9th to 12th grade, no diploma","Under $20,000"
7/20/17 16:19,7/20/17 16:33,100,832,TRUE,7/20/17 16:33,R_3LbhzT6AYOWyR2i,33.5756073,-85.13400269,anonymous,EN,Yes,Yes,No,No,No,No,No,A1U7AAKEZ4YXZD,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 100,000 that he is guilty","About 1 chance in 100,000 that he is guilty",About 1 chance in 100 that he is guilty,Not Guilty,About 1 chance in 100 that he is guilty,About 1 chance in 100 that he is guilty,About 1 chance in 10 that he is guilty,"
	I understood completely
	7
",1 chance in 100,"1 chance in 10,000","1 chance in 1,000",34,NA,Technical or vocational training,"$80-$100,000",High school courses,&nbsp;,&nbsp;,Yes,No,No,No,&nbsp;,&nbsp;,Moderate,American Independent,NA,NA,77380,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(24,34]",Some college or associate degree,"$40,000 to $100,000"
7/20/17 16:16,7/20/17 16:44,100,1664,TRUE,7/20/17 16:44,R_2EGhFVFxvcHbO64,40.59750366,-73.99790192,anonymous,EN,Yes,Yes,No,No,No,No,No,ARVXIBUCA8WDZ,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 100,000 that he is guilty",One chance in 2 that he is guilty,About 1 chance in 10 million that he is guilty,Not Guilty,One chance in 2 that he is guilty,"About 999,999 chances in 1 million that he is guilty",About 1 chance in 10 that he is guilty,6,1 chance in 100,Zero chances (It is impossible.),Zero chances (It is impossible.),31,Male,Graduated from high school/ Received GED,"$20-$40,000",High school courses,&nbsp;,&nbsp;,Yes,No,No,No,&nbsp;,&nbsp;,Moderate,Democrat,NA,NA,60237,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(24,34]",High school graduate,"$20,000 to $40,000"
