ColumnID,QuestionLabel,QuestionText,QuestionSource
NewEvidClick1_Fiber_Mod,Q558_First Click,Timing - First Click,"{""ImportId"":""QID558_FIRST_CLICK""}"
NewEvidClickLast_Fiber_Mod,Q558_Last Click,Timing - Last Click,"{""ImportId"":""QID558_LAST_CLICK""}"
NewEvidPgSub_Fiber_Mod,Q558_Page Submit,Timing - Page Submit,"{""ImportId"":""QID558_PAGE_SUBMIT""}"
NewEvidClickCnt_Fiber_Mod,Q558_Click Count,Timing - Click Count,"{""ImportId"":""QID558_CLICK_COUNT""}"
RMP_Fiber_Mod,Q560,"According to the forensic analyst, what are the chances that a randomly chosen shirt would leave behind fibers consistent with those found on Mrs. Wilson's nightgown?","{""ImportId"":""QID560""}"
CrossExamFEClick1,Q561_First Click,Timing - First Click,"{""ImportId"":""QID561_FIRST_CLICK""}"
CrossExamFEClickLast,Q561_Last Click,Timing - Last Click,"{""ImportId"":""QID561_LAST_CLICK""}"
CrossExamFEPgSub,Q561_Page Submit,Timing - Page Submit,"{""ImportId"":""QID561_PAGE_SUBMIT""}"
CrossExamFEClickCnt,Q561_Click Count,Timing - Click Count,"{""ImportId"":""QID561_CLICK_COUNT""}"
FactorsAnalyst_Fiber_Mod,Q563,What factors did the analyst take into account when he estimated the strength of his findings for linking Mr. Kelly to the crime?,"{""ImportId"":""QID563""}"
NewEvidClick1_Fiber_Strong,Q551_First Click,Timing - First Click,"{""ImportId"":""QID551_FIRST_CLICK""}"
NewEvidClickLast_Fiber_Strong,Q551_Last Click,Timing - Last Click,"{""ImportId"":""QID551_LAST_CLICK""}"
NewEvidPgSub_Fiber_Strong,Q551_Page Submit,Timing - Page Submit,"{""ImportId"":""QID551_PAGE_SUBMIT""}"
NewEvidClickCnt_Fiber_Strong,Q551_Click Count,Timing - Click Count,"{""ImportId"":""QID551_CLICK_COUNT""}"
RMP_Fiber_Strong,Q553,"According to the forensic analyst, what are the chances that a randomly chosen shirt would leave behind fibers consistent with those found on Mrs. Wilson's nightgown?","{""ImportId"":""QID553""}"
CrossExamFEClick1,Q554_First Click,Timing - First Click,"{""ImportId"":""QID554_FIRST_CLICK""}"
CrossExamFEClickLast,Q554_Last Click,Timing - Last Click,"{""ImportId"":""QID554_LAST_CLICK""}"
CrossExamFEPgSub,Q554_Page Submit,Timing - Page Submit,"{""ImportId"":""QID554_PAGE_SUBMIT""}"
CrossExamFEClickCnt,Q554_Click Count,Timing - Click Count,"{""ImportId"":""QID554_CLICK_COUNT""}"
FactorsAnalyst_Fiber_Strong,Q556,What factors did the analyst take into account when he estimated the strength of his findings for linking Mr. Kelly to the crime?,"{""ImportId"":""QID556""}"
NewEvidClick1_Finger_Mod,Q526_First Click,Timing - First Click,"{""ImportId"":""QID526_FIRST_CLICK""}"
NewEvidClickLast_Finger_Mod,Q526_Last Click,Timing - Last Click,"{""ImportId"":""QID526_LAST_CLICK""}"
NewEvidPgSub_Finger_Mod,Q526_Page Submit,Timing - Page Submit,"{""ImportId"":""QID526_PAGE_SUBMIT""}"
NewEvidClickCnt_Finger_Mod,Q526_Click Count,Timing - Click Count,"{""ImportId"":""QID526_CLICK_COUNT""}"
RMP_Finger_Mod,Q528,"According to the forensic analyst, what are the chances that a randomly chosen person would have a fingerprint consistent with the latent print found on the faucet handle?","{""ImportId"":""QID528""}"
CrossExamFEClick1,Q529_First Click,Timing - First Click,"{""ImportId"":""QID529_FIRST_CLICK""}"
CrossExamFEClickLast,Q529_Last Click,Timing - Last Click,"{""ImportId"":""QID529_LAST_CLICK""}"
CrossExamFEPgSub,Q529_Page Submit,Timing - Page Submit,"{""ImportId"":""QID529_PAGE_SUBMIT""}"
CrossExamFEClickCnt,Q529_Click Count,Timing - Click Count,"{""ImportId"":""QID529_CLICK_COUNT""}"
FactorsAnalyst_Finger_Mod,Q531,What factors did the analyst take into account when he estimated the strength of his findings for linking Mr. Kelly to the crime?,"{""ImportId"":""QID531""}"
NewEvidClick1_Finger_Strong,Q533_First Click,Timing - First Click,"{""ImportId"":""QID533_FIRST_CLICK""}"
NewEvidClickLast_Finger_Strong,Q533_Last Click,Timing - Last Click,"{""ImportId"":""QID533_LAST_CLICK""}"
NewEvidPgSub_Finger_Strong,Q533_Page Submit,Timing - Page Submit,"{""ImportId"":""QID533_PAGE_SUBMIT""}"
NewEvidClickCnt_Finger_Strong,Q533_Click Count,Timing - Click Count,"{""ImportId"":""QID533_CLICK_COUNT""}"
RMP_Finger_Strong,Q535,"According to the forensic analyst, what are the chances that a randomly chosen person would have a fingerprint consistent with the latent print found on the faucet handle?","{""ImportId"":""QID535""}"
CrossExamFEClick1,Q536_First Click,Timing - First Click,"{""ImportId"":""QID536_FIRST_CLICK""}"
CrossExamFEClickLast,Q536_Last Click,Timing - Last Click,"{""ImportId"":""QID536_LAST_CLICK""}"
CrossExamFEPgSub,Q536_Page Submit,Timing - Page Submit,"{""ImportId"":""QID536_PAGE_SUBMIT""}"
CrossExamFEClickCnt,Q536_Click Count,Timing - Click Count,"{""ImportId"":""QID536_CLICK_COUNT""}"
FactorsAnalyst_Finger_Strong,Q538,What factors did the analyst take into account when he estimated the strength of his findings for linking Mr. Kelly to the crime?,"{""ImportId"":""QID538""}"
NewEvidClick1_DNA_Mod,Q510_First Click,Timing - First Click,"{""ImportId"":""QID510_FIRST_CLICK""}"
NewEvidClickLast_DNA_Mod,Q510_Last Click,Timing - Last Click,"{""ImportId"":""QID510_LAST_CLICK""}"
NewEvidPgSub_DNA_Mod,Q510_Page Submit,Timing - Page Submit,"{""ImportId"":""QID510_PAGE_SUBMIT""}"
NewEvidClickCnt_DNA_Mod,Q510_Click Count,Timing - Click Count,"{""ImportId"":""QID510_CLICK_COUNT""}"
RMP_DNA_Mod,Q512,"According to the forensic analyst, what are the chances that a randomly chosen person would have a DNA profile consistent with the DNA found on the faucet handle?","{""ImportId"":""QID512""}"
CrossExamFEClick1,Q513_First Click,Timing - First Click,"{""ImportId"":""QID513_FIRST_CLICK""}"
CrossExamFEClickLast,Q513_Last Click,Timing - Last Click,"{""ImportId"":""QID513_LAST_CLICK""}"
CrossExamFEPgSub,Q513_Page Submit,Timing - Page Submit,"{""ImportId"":""QID513_PAGE_SUBMIT""}"
CrossExamFEClickCnt,Q513_Click Count,Timing - Click Count,"{""ImportId"":""QID513_CLICK_COUNT""}"
FactorsAnalyst_DNA_Mod,Q515,What factors did the analyst take into account when he estimated the strength of his findings for linking Mr. Kelly to the crime?,"{""ImportId"":""QID515""}"
NewEvidClick1_DNA_Strong,Q517_First Click,Timing - First Click,"{""ImportId"":""QID517_FIRST_CLICK""}"
NewEvidClickLast_DNA_Strong,Q517_Last Click,Timing - Last Click,"{""ImportId"":""QID517_LAST_CLICK""}"
NewEvidPgSub_DNA_Strong,Q517_Page Submit,Timing - Page Submit,"{""ImportId"":""QID517_PAGE_SUBMIT""}"
NewEvidClickCnt_DNA_Strong,Q517_Click Count,Timing - Click Count,"{""ImportId"":""QID517_CLICK_COUNT""}"
RMP_DNA_Strong,Q519,"According to the forensic analyst, what are the chances that a randomly chosen person would have a DNA profile consistent with the DNA found on the faucet handle?","{""ImportId"":""QID519""}"
CrossExamFEClick1,Q520_First Click,Timing - First Click,"{""ImportId"":""QID520_FIRST_CLICK""}"
CrossExamFEClickLast,Q520_Last Click,Timing - Last Click,"{""ImportId"":""QID520_LAST_CLICK""}"
CrossExamFEPgSub,Q520_Page Submit,Timing - Page Submit,"{""ImportId"":""QID520_PAGE_SUBMIT""}"
CrossExamFEClickCnt,Q520_Click Count,Timing - Click Count,"{""ImportId"":""QID520_CLICK_COUNT""}"
FactorsAnalyst_DNA_Strong,Q522,What factors did the analyst take into account when he estimated the strength of his findings for linking Mr. Kelly to the crime?,"{""ImportId"":""QID522""}"
Reading8Click1,Q7.1_First Click,Timing - First Click,"{""ImportId"":""QID268_FIRST_CLICK""}"
Reading8ClickLast,Q7.1_Last Click,Timing - Last Click,"{""ImportId"":""QID268_LAST_CLICK""}"
Reading8PgSub,Q7.1_Page Submit,Timing - Page Submit,"{""ImportId"":""QID268_PAGE_SUBMIT""}"
Reading8ClickCnt,Q7.1_Click Count,Timing - Click Count,"{""ImportId"":""QID268_CLICK_COUNT""}"
SecondaryVerdict,Q7.4,"Suppose that you were a juror in this case and the judge instructed you to find Mr. Kelly guilty only if the evidence convinced
you ñbeyond a reasonable doubtî that he committed the rape.æ What verdict do you think you would
return?","{""ImportId"":""QID290""}"
SecondaryChances,Q7.3,What do you think are the chances that Brian Kelly was the man who raped Mrs. Wilson? æ Chose the option that is closest to your best estimate.,"{""ImportId"":""QID289""}"
SecondaryHighChances,Q387,The highest reasonable estimate of the chances Kelly is guilty would be:,"{""ImportId"":""QID435""}"
SecondaryLowChances,Q389,The lowest reasonable estimate of the chances Kelly is guilty would be:,"{""ImportId"":""QID437""}"
UnderstoodEvidence,Q367,Now we would like you to think back to the forensic evidence. How well do you feel like you understood the evidence presented by the forensics expert?,"{""ImportId"":""QID415""}"
KellyCouldveLeftEvid_Shoe_Mod,Q575,Brian KellyÍs shoe could have made the shoeprint on the bathroom floor.,"{""ImportId"":""QID575""}"
RMPTimesKelly_Shoe_Mod,Q576,It is one hundred times more likely that the shoeprint on the bathroom floor came from Brian Kelly's shoe than from a random shoe.,"{""ImportId"":""QID576""}"
KellyMoreLikely_Shoe_Mod,Q577,It is much more likely that the shoeprint on the bathroom floor came from Brian Kelly's shoe than from another person's shoe.,"{""ImportId"":""QID577""}"
NotOnlyKelly_Shoe_Mod,Q578,Brian Kelly's shoe is not the only shoe that could have left the shoeprint on the bathroom floor.,"{""ImportId"":""QID578""}"
DefenseFallacy_Shoe_Mod,Q579,"Because a lot of other shoes besides Kelly's could have made the print on the bathroom floor, the shoeprint evidence should not be considered when determining whether or not Brian Kelly is guilty.","{""ImportId"":""QID579""}"
Implicates_Shoe_Mod,Q580,The shoeprint evidence implicates Brian Kelly.,"{""ImportId"":""QID580""}"
Greater50Kelly_Shoe_Mod,Q581,There is a greater than 50% chance that the shoeprint on the bathroom floor came from Brian Kelly's shoe.,"{""ImportId"":""QID581""}"
ProsecuteFallacy_Shoe_Mod,Q582,There is only one chance in one hundred that the shoeprint on the bathroom floor came from any shoe other than Brian Kelly's shoe.,"{""ImportId"":""QID582""}"
KellyCouldveLeftEvid_Shoe_Strong,Q410,Brian KellyÍs shoe could have made the shoeprint on the bathroom floor.,"{""ImportId"":""QID457""}"
RMPTimesKelly_Shoe_Strong,Q416,It is one million times more likely that the shoeprint on the bathroom floor came from Brian Kelly's shoe than from a random shoe.,"{""ImportId"":""QID460""}"
KellyMoreLikely_Shoe_Strong,Q414,It is much more likely that the shoeprint on the bathroom floor came from Brian Kelly's shoe than from another person's shoe.,"{""ImportId"":""QID459""}"
NotOnlyKelly_Shoe_Strong,Q412,Brian Kelly's shoe is not the only shoe that could have left the shoeprint on the bathroom floor.,"{""ImportId"":""QID458""}"
DefenseFallacy_Shoe_Strong,Q418,"Because a lot of other shoes besides Kelly's could have made the print on the bathroom floor, the shoeprint evidence should not be considered when determining whether or not Brian Kelly is guilty.","{""ImportId"":""QID461""}"
Implicates_Shoe_Strong,Q420,The shoeprint evidence implicates Brian Kelly.,"{""ImportId"":""QID462""}"
Greater50Kelly_Shoe_Strong,Q422,There is a greater than 50% chance that the shoeprint on the bathroom floor came from Brian Kelly's shoe.,"{""ImportId"":""QID463""}"
ProsecuteFallacy_Shoe_Strong,Q424,There is only one chance in one million that the shoeprint on the bathroom floor came from any shoe other than Brian Kelly's shoe.,"{""ImportId"":""QID464""}"
KellyCouldveLeftEvid_Fiber_Mod,Q566,Brian KellyÍs shirt could have left the fibers found on Mrs. Wilson's nightgown.,"{""ImportId"":""QID566""}"
RMPTimesKelly_Fiber_Mod,Q567,It is one hundred times more likely that the fibers found on Mrs. Wilson's nightgown came from Brian Kelly's shirt than from a random shirt.,"{""ImportId"":""QID567""}"
KellyMoreLikely_Fiber_Mod,Q568,It is much more likely that the fibers found on Mrs. Wilson's nightgown came from Brian Kelly's shirt than from another person's shirt.,"{""ImportId"":""QID568""}"
NotOnlyKelly_Fiber_Mod,Q569,Brian Kelly's shirt is not the only shirt that could have left the fibers found on Mrs. Wilson's nightgown.,"{""ImportId"":""QID569""}"
DefenseFallacy_Fiber_Mod,Q570,"Because a lot of other shirts besides Kelly's could have left the fibers found on Mrs. Wilson's nightgown, the fiber evidence should not be considered when determining whether or not Brian Kelly is guilty.","{""ImportId"":""QID570""}"
Implicates_Fiber_Mod,Q571,The fiber evidence implicates Brian Kelly.,"{""ImportId"":""QID571""}"
Greater50Kelly_Fiber_Mod,Q572,There is a greater than 50% chance that the fibers found on Mrs. Wilson's nightgown came from Brian Kelly's shirt.,"{""ImportId"":""QID572""}"
ProsecuteFallacy_Fiber_Mod,Q573,There is only one chance in one hundred that the fibers found on Mrs. Wilson's nightgown came from any shirt other than Brian Kelly's shirt.,"{""ImportId"":""QID573""}"
KellyCouldveLeftEvid_Fiber_Strong,Q584,Brian KellyÍs shirt could have left the fibers found on Mrs. Wilson's nightgown.,"{""ImportId"":""QID584""}"
RMPTimesKelly_Fiber_Strong,Q585,It is one million times more likely that the fibers found on Mrs. Wilson's nightgown came from Brian Kelly's shirt than from a random shirt.,"{""ImportId"":""QID585""}"
KellyMoreLikely_Fiber_Strong,Q586,It is much more likely that the fibers found on Mrs. Wilson's nightgown came from Brian Kelly's shirt than from another person's shirt.,"{""ImportId"":""QID586""}"
NotOnlyKelly_Fiber_Strong,Q587,Brian Kelly's shirt is not the only shirt that could have left the fibers found on Mrs. Wilson's nightgown.,"{""ImportId"":""QID587""}"
DefenseFallacy_Fiber_Strong,Q588,"Because a lot of other shirts besides Kelly's could have left the fibers found on Mrs. Wilson's nightgown, the fiber evidence should not be considered when determining whether or not Brian Kelly is guilty.","{""ImportId"":""QID588""}"
Implicates_Fiber_Strong,Q589,The fiber evidence implicates Brian Kelly.,"{""ImportId"":""QID589""}"
Greater50Kelly_Fiber_Strong,Q590,There is a greater than 50% chance that the fibers found on Mrs. Wilson's nightgown came from Brian Kelly's shirt.,"{""ImportId"":""QID590""}"
ProsecuteFallacy_Fiber_Strong,Q591,There is only one chance in one million that the fibers found on Mrs. Wilson's nightgown came from any shirt other than Brian Kelly's shirt.,"{""ImportId"":""QID591""}"
KellyCouldveLeftEvid_Finger_Mod,Q541,The latent fingerprint found on the bathroom faucet could have been left by Brian Kelly.,"{""ImportId"":""QID541""}"
RMPTimesKelly_Finger_Mod,Q542,It is one hundred times more likely that the latent fingerprint on the bathroom faucet came from Brian Kelly than from someone else.,"{""ImportId"":""QID542""}"
KellyMoreLikely_Finger_Mod,Q543,It is much more likely that the latent fingerprint on the bathroom faucet came from Brian Kelly than from someone else.,"{""ImportId"":""QID543""}"
NotOnlyKelly_Finger_Mod,Q544,Brian Kelly is not the only person who could have left the latent fingerprint on the bathroom faucet.,"{""ImportId"":""QID544""}"
DefenseFallacy_Finger_Mod,Q545,"Because a lot of other people besides Kelly could have left the latent fingerprint on the bathroom faucet, the fingerprint evidence should not be considered when determining whether or not Brian Kelly is guilty.","{""ImportId"":""QID545""}"
Implicates_Finger_Mod,Q546,The fingerprint evidence implicates Brian Kelly.,"{""ImportId"":""QID546""}"
Greater50Kelly_Finger_Mod,Q548,There is a greater than 50% chance that the latent fingerprint on the bathroom faucet came from Brian Kelly.,"{""ImportId"":""QID548""}"
ProsecuteFallacy_Finger_Mod,Q547,There is only one chance in one hundred that the latent fingerprint on the bathroom faucet came from anyone other than Brian Kelly.,"{""ImportId"":""QID547""}"
KellyCouldveLeftEvid_Finger_Strong,Q593,The latent fingerprint found on the bathroom faucet could have been left by Brian Kelly.,"{""ImportId"":""QID593""}"
RMPTimesKelly_Finger_Strong,Q594,It is one million times more likely that the latent fingerprint on the bathroom faucet came from Brian Kelly than from someone else.,"{""ImportId"":""QID594""}"
KellyMoreLikely_Finger_Strong,Q595,It is much more likely that the latent fingerprint on the bathroom faucet came from Brian Kelly than from someone else.,"{""ImportId"":""QID595""}"
NotOnlyKelly_Finger_Strong,Q596,Brian Kelly is not the only person who could have left the latent fingerprint on the bathroom faucet.,"{""ImportId"":""QID596""}"
DefenseFallacy_Finger_Strong,Q597,"Because a lot of other people besides Kelly could have left the latent fingerprint on the bathroom faucet, the fingerprint evidence should not be considered when determining whether or not Brian Kelly is guilty.","{""ImportId"":""QID597""}"
Implicates_Finger_Strong,Q598,The fingerprint evidence implicates Brian Kelly.,"{""ImportId"":""QID598""}"
Greater50Kelly_Finger_Strong,Q600,There is a greater than 50% chance that the latent fingerprint on the bathroom faucet came from Brian Kelly.,"{""ImportId"":""QID600""}"
ProsecuteFallacy_Finger_Strong,Q599,There is only one chance in one million that the latent fingerprint on the bathroom faucet came from anyone other than Brian Kelly.,"{""ImportId"":""QID599""}"
KellyCouldveLeftEvid_DNA_Mod,Q499,The DNA found on the bathroom faucet could have been left by Brian Kelly.,"{""ImportId"":""QID499""}"
RMPTimesKelly_DNA_Mod,Q500,It is one hundred times more likely that the DNA on the bathroom faucet came from Brian Kelly than from someone else.,"{""ImportId"":""QID500""}"
KellyMoreLikely_DNA_Mod,Q501,It is much more likely that the DNA on the bathroom faucet came from Brian Kelly than from someone else.,"{""ImportId"":""QID501""}"
NotOnlyKelly_DNA_Mod,Q502,Brian Kelly is not the only person who could have left the DNA on the bathroom faucet.,"{""ImportId"":""QID502""}"
DefenseFallacy_DNA_Mod,Q503,"Because a lot of other people besides Kelly could have left the DNA on the bathroom faucet, the DNA evidence should not be considered when determining whether or not Brian Kelly is guilty","{""ImportId"":""QID503""}"
Implicates_DNA_Mod,Q504,The DNA evidence implicates Brian Kelly.,"{""ImportId"":""QID504""}"
Greater50Kelly_DNA_Mod,Q505,There is a greater than 50% chance that the DNA on the bathroom faucet came from Brian Kelly.,"{""ImportId"":""QID505""}"
ProsecuteFallacy_DNA_Mod,Q506,There is only one chance in one hundred that the DNA on the bathroom faucet came from anyone other than Brian Kelly.,"{""ImportId"":""QID506""}"
KellyCouldveLeftEvid_DNA_Strong,Q602,The DNA found on the bathroom faucet could have been left by Brian Kelly.,"{""ImportId"":""QID602""}"
RMPTimesKelly_DNA_Strong,Q603,It is one million times more likely that the DNA on the bathroom faucet came from Brian Kelly than from someone else.,"{""ImportId"":""QID603""}"
KellyMoreLikely_DNA_Strong,Q604,It is much more likely that the DNA on the bathroom faucet came from Brian Kelly than from someone else.,"{""ImportId"":""QID604""}"
NotOnlyKelly_DNA_Strong,Q605,Brian Kelly is not the only person who could have left the DNA on the bathroom faucet.,"{""ImportId"":""QID605""}"
DefenseFallacy_DNA_Strong,Q606,"Because a lot of other people besides Kelly could have left the DNA on the bathroom faucet, the DNA evidence should not be considered when determining whether or not Brian Kelly is guilty.","{""ImportId"":""QID606""}"
Implicates_DNA_Strong,Q607,The DNA evidence implicates Brian Kelly.,"{""ImportId"":""QID607""}"
Greater50Kelly_DNA_Strong,Q608,There is a greater than 50% chance that the DNA on the bathroom faucet came from Brian Kelly.,"{""ImportId"":""QID608""}"
ProsecuteFallacy_DNA_Strong,Q609,There is only one chance in one million that the DNA on the bathroom faucet came from anyone other than Brian Kelly.,"{""ImportId"":""QID609""}"
RMPEstimate,Q7.6,"What do you think are the chances that forensic evidence found at the crime scene in a case like this one would, just by coincidence, happen to match an innocent person?","{""ImportId"":""QID292""}"
FrameEstimate,Q7.7,What do you think are the chances that an innocent person in a case like this one would be framed by someone planting the matching forensic evidence at the crime scene?,"{""ImportId"":""QID293""}"
